,Start,Target,Distance
161,Adelaide,Edinburgh,16303
162,Adelaide,Frankfurt,15673
163,Adelaide,Georgetown,16439
164,Adelaide,Glasgow,16368
165,Adelaide,Guatemala City,14631
166,Adelaide,Guayaquil,14262
167,Adelaide,Hamburg,15548
168,Adelaide,Hammerfest,14555
169,Adelaide,Havana,15853
170,Adelaide,Helsinki,14598
171,Adelaide,Hobart,1160
172,Adelaide,Hong Kong,6867
173,Adelaide,Iquique,13180
174,Adelaide,Irkutsk,10272
175,Adelaide,Jakarta,4554
176,Adelaide,Johannesburg,10041
177,Adelaide,Kingston,16048
178,Adelaide,Kinshasa,12672
179,Adelaide,Kuala Lumpur,5718
180,Adelaide,La Paz,13632
181,Adelaide,Leeds,16286
182,Adelaide,Lima,13588
183,Adelaide,Lisbon,17128
184,Adelaide,Liverpool,16392
185,Adelaide,London,16259
186,Adelaide,Lyons,15977
187,Adelaide,Madrid,16666
188,Adelaide,Manchester,16342
189,Adelaide,Manila,5810
190,Adelaide,Marseilles,15932
191,Adelaide,Mazatln,13670
192,Adelaide,Mecca,12129
193,Adelaide,Melbourne,653
194,Adelaide,Mexico City,14134
195,Adelaide,Milan,15639
196,Adelaide,Montevideo,12103
197,Adelaide,Moscow,13803
198,Adelaide,Munich,15466
199,Adelaide,Nagasaki,7583
200,Adelaide,Nagoya,7789
201,Adelaide,Nairobi,10978
202,Adelaide,Nanjing (Nanking),7725
203,Adelaide,Naples,15168
204,Adelaide,New Delhi,9555
205,Adelaide,Newcastle-on-Tyne,16250
206,Adelaide,Odessa,14008
207,Adelaide,Osaka,7729
208,Adelaide,Oslo,15388
209,Adelaide,Panama City,15186
210,Adelaide,Paramaribo,16474
211,Adelaide,Paris,16143
212,Adelaide,Perth,2130
213,Adelaide,Plymouth,16561
214,Adelaide,Port Moresby,2965
215,Adelaide,Prague,15263
216,Adelaide,Rangoon,7302
217,Adelaide,Reykjavk,16515
218,Adelaide,Rio de Janeiro,13577
219,Adelaide,Rome,15336
220,Adelaide,Salvador,14685
221,Adelaide,Santiago,11819
222,Adelaide,St. Petersburg,14303
223,Adelaide,So Paulo,13495
224,Adelaide,Shanghai,7563
225,Adelaide,Singapore,5399
226,Adelaide,Sofia,14476
227,Adelaide,Stockholm,14992
228,Adelaide,Sydney,1140
229,Adelaide,Tananarive,8915
230,Adelaide,Teheran,11934
231,Adelaide,Tokyo,7849
232,Adelaide,Tripoli,15036
233,Adelaide,Venice,15392
234,Adelaide,Veracruz,14388
235,Adelaide,Vienna,15114
236,Adelaide,Vladivostok,8708
237,Adelaide,Warsaw,14816
238,Adelaide,Wellington,3219
239,Adelaide,Zrich,15694
240,Algiers,Aberdeen,2291
241,Algiers,Adelaide,16045
242,Algiers,Algiers,0
243,Algiers,Amsterdam,1733
244,Algiers,Ankara,2617
245,Algiers,Asuncin,9376
246,Algiers,Athens,1830
247,Algiers,Auckland,19281
248,Algiers,Bangkok,9746
249,Algiers,Barcelona,511
250,Algiers,Beijing,9108
251,Algiers,Belm,6796
252,Algiers,Belfast,2091
253,Algiers,Belgrade,1718
254,Algiers,Berlin,1922
255,Algiers,Birmingham,1774
256,Algiers,Bogot,8571
257,Algiers,Bombay,6987
258,Algiers,Bordeaux,937
259,Algiers,Bremen,1862
260,Algiers,Brisbane,17032
261,Algiers,Bristol,1685
262,Algiers,Brussels,1564
263,Algiers,Bucharest,2115
264,Algiers,Budapest,1772
265,Algiers,Buenos Aires,10163
266,Algiers,Cairo,2725
267,Algiers,Calcutta,8137
268,Algiers,Canton,10131
269,Algiers,Cape Town,8026
270,Algiers,Caracas,7540
271,Algiers,Cayenne,6639
272,Algiers,Chihuahua,9641
273,Algiers,Chongqing,9147
274,Algiers,Copenhagen,2214
275,Algiers,Crdoba,10313
276,Algiers,Dakar,3190
277,Algiers,Darwin,14178
278,Algiers,Djibouti,4887
279,Algiers,Dublin,1969
280,Algiers,Durban,7967
281,Algiers,Edinburgh,2171
282,Algiers,Frankfurt,1545
283,Algiers,Georgetown,7014
284,Algiers,Glasgow,2181
285,Algiers,Guatemala City,9345
286,Algiers,Guayaquil,9524
287,Algiers,Hamburg,1936
288,Algiers,Hammerfest,3949
289,Algiers,Havana,8101
290,Algiers,Helsinki,3027
